# mesh 11 11 11 
#freq[THz]  DOS[au]
   4.09572   1.2183933e+00
   4.14823   1.2573451e+00
   4.20074   1.3173085e+00
   4.25325   1.5925783e+00
   4.30576   1.6502299e+00
   4.35827   1.5974709e+00
   4.41078   1.2420039e+00
   4.46329   5.4778050e-01
   4.51579   5.6750296e-01
   4.56830   6.0769567e-01
   4.62081   6.1627215e-01
   4.67332   6.2340991e-01
   4.72583   6.6684930e-01
   4.77834   7.1098935e-01
   4.83085   2.3671424e+00
   4.88336   6.4120205e-01
   4.93587   6.9933444e-01
   4.98838   7.8464400e-01
   5.04089   8.6771352e-01
   5.09340   1.0559912e+00
   5.14591   1.2980383e+00
   5.19841   1.2353839e+00
   5.25092   1.1664598e+00
   5.30343   1.1220514e+00
   5.35594   1.0778092e+00
   5.40845   1.2375603e+00
   5.46096   1.3548689e+00
   5.51347   1.3980096e+00
   5.56598   1.4802709e+00
   5.61849   1.5843742e+00
   5.67100   1.6544953e+00
   5.72351   1.6748585e+00
   5.77602   1.6164438e+00
   5.82853   1.4952693e+00
   5.88104   1.4374029e+00
   5.93354   1.4032345e+00
   5.98605   1.3494604e+00
   6.03856   1.2804459e+00
   6.09107   1.3717439e+00
   6.14358   1.4400931e+00
   6.19609   1.5433737e+00
   6.24860   1.8159976e+00
   6.30111   2.0161065e+00
   6.35362   2.0709318e+00
   6.40613   2.0565474e+00
   6.45864   2.2049474e+00
   6.51115   2.2400683e+00
   6.56366   2.1519737e+00
   6.61616   1.8883339e+00
   6.66867   1.4638776e+00
   6.72118   1.3009826e+00
   6.77369   1.3473493e+00
   6.82620   1.1536529e+00
   6.87871   1.2497488e+00
   6.93122   1.3405229e+00
   6.98373   1.4142430e+00
   7.03624   1.3773920e+00
   7.08875   1.2591249e+00
   7.14126   1.1391239e+00
   7.19377   1.0642496e+00
   7.24628   1.0194618e+00
   7.29878   9.5411230e-01
   7.35129   9.4162699e-01
   7.40380   9.1454668e-01
   7.45631   9.5887453e-01
   7.50882   1.2117165e+00
   7.56133   8.6241362e-01
   7.61384   5.9379056e-01
   7.66635   5.1144371e-01
   7.71886   5.4018279e-01
   7.77137   5.6656764e-01
   7.82388   1.1893449e+00
   7.87639   1.5209656e+00
   7.92890   2.4356262e+00
   7.98140   3.1665890e+00
   8.03391   3.2438447e+00
   8.08642   3.5555232e+00
   8.13893   3.4947346e+00
   8.19144   3.6881480e+00
   8.24395   4.2373962e+00
   8.29646   4.7829530e+00
   8.34897   3.0323252e+00
   8.40148   1.9874118e+00
   8.45399   1.3262898e+00
   8.50650   1.1238121e+00
   8.55901   5.0688433e-01
   8.61152   2.0226648e-02
   8.66402   2.2575963e-02
   8.71653   2.5084864e-02
   8.76904   7.1174164e-02
   8.82155   1.4340674e-01
   8.87406   1.8743750e-01
   8.92657   2.8625621e-01
   8.97908   3.9236785e-01
   9.03159   5.8825515e-01
   9.08410   8.7098241e-01
   9.13661   8.8702986e-01
   9.18912   9.6106678e-01
   9.24163   1.0514778e+00
   9.29414   1.1992918e+00
   9.34665   9.0781797e-01
   9.39915   9.4009368e-01
   9.45166   9.9262541e-01
   9.50417   1.0263393e+00
   9.55668   1.0340159e+00
   9.60919   9.9571329e-01
   9.66170   1.0131126e+00
   9.71421   8.7081500e-01
   9.76672   7.0897009e-01
   9.81923   5.4936832e-01
   9.87174   4.9840346e-01
   9.92425   4.6222978e-01
   9.97676   4.3280843e-01
  10.02927   4.0388749e-01
  10.08177   3.6113760e-01
  10.13428   3.0055694e-01
  10.18679   2.4359519e-01
  10.23930   1.9521356e-01
  10.29181   1.4700358e-01
  10.34432   1.0800340e-01
  10.39683   3.6509261e-02
  10.44934   0.0000000e+00
