# mesh 11 11 11 
#freq[THz]  DOS[au]
  -0.00000   0.0000000e+00
   0.05251   2.0117672e-05
   0.10502   8.0470756e-05
   0.15753   1.8105925e-04
   0.21004   3.2188316e-04
   0.26255   5.0294248e-04
   0.31506   7.2423722e-04
   0.36756   9.8576737e-04
   0.42007   1.2875329e-03
   0.47258   1.6295339e-03
   0.52509   2.0117703e-03
   0.57760   2.4342421e-03
   0.63011   2.8969493e-03
   0.68262   3.3998919e-03
   0.73513   3.9430700e-03
   0.78764   4.5264834e-03
   0.84015   5.1501323e-03
   0.89266   5.8140165e-03
   0.94517   6.5181362e-03
   0.99768   7.2624913e-03
   1.05018   8.0470818e-03
   1.10269   8.8719078e-03
   1.15520   9.7369691e-03
   1.20771   1.0642266e-02
   1.26022   1.1587798e-02
   1.31273   1.2573566e-02
   1.36524   1.3599569e-02
   1.41775   1.9718639e-02
   1.47026   3.4907825e-02
   1.52277   3.6948112e-02
   1.57528   3.9136060e-02
   1.62779   4.1471669e-02
   1.68030   4.3954939e-02
   1.73280   4.6585869e-02
   1.78531   4.9364461e-02
   1.83782   5.2339209e-02
   1.89033   5.5894094e-02
   1.94284   6.0122383e-02
   1.99535   6.5195532e-02
   2.04786   7.1113543e-02
   2.10037   7.7876414e-02
   2.15288   8.5484147e-02
   2.20539   9.4150526e-02
   2.25790   1.0344298e-01
   2.31041   1.1296792e-01
   2.36292   1.3140882e-01
   2.41543   1.5129091e-01
   2.46793   1.6604669e-01
   2.52044   1.7913024e-01
   2.57295   1.9325197e-01
   2.62546   2.0853209e-01
   2.67797   2.3474100e-01
   2.73048   2.5668451e-01
   2.78299   2.7879764e-01
   2.83550   3.0273354e-01
   2.88801   3.3063129e-01
   2.94052   3.6309003e-01
   2.99303   4.1405050e-01
   3.04554   5.4715598e-01
   3.09805   6.7072333e-01
   3.15055   7.8788479e-01
   3.20306   8.8023771e-01
   3.25557   9.5115913e-01
   3.30808   9.7689731e-01
   3.36059   9.7117483e-01
   3.41310   9.7284092e-01
   3.46561   1.0134780e+00
   3.51812   1.0510897e+00
   3.57063   1.0818124e+00
   3.62314   1.1079333e+00
   3.67565   1.1224242e+00
   3.72816   1.1220380e+00
   3.78067   1.1218414e+00
   3.83317   1.1174914e+00
   3.88568   1.1255538e+00
   3.93819   1.1413577e+00
   3.99070   1.1601231e+00
   4.04321   1.1882368e+00
